Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 1336.0 NA 146 358 0 NA NA 515 574 0 NA NA 616 2640 620 NA NA 1429 2285 870 NA
1558299600.0 1337.0 NA 158 371 0 NA NA 604 727 0 NA NA 638 2479 611 NA NA 683 2199 685 NA
1558299600.0 1338.0 NA 148 350 0 NA NA 606 666 0 NA NA 557 2100 616 NA NA 1069 2071 747 NA
1558299600.0 1339.0 NA 157 379 0 NA NA 563 664 0 NA NA 729 2445 877 NA NA 498 1942 927 NA
1558299600.0 134.701 NA 38 347 0 NA NA 99 718 0 NA NA 256 5794 659 NA NA 216 3023 745 NA
1558299600.0 134.702 NA 31 333 0 NA NA 96 692 0 NA NA 263 6210 680 NA NA 325 3207 750 NA
1558299600.0 134.703 NA 37 347 0 NA NA 109 694 0 NA NA 267 6104 712 NA NA 308 3006 955 NA
1558299600.0 134.704 NA 30 334 0 NA NA 102 676 0 NA NA 277 5965 692 NA NA 651 3106 868 NA
1558299600.0 134.705 NA 36 353 0 NA NA 107 681 0 NA NA 258 6489 751 NA NA 407 3184 879 NA
1558299600.0 134.706 NA 42 348 0 NA NA 104 697 0 NA NA 254 6576 751 NA NA 372 3316 888 NA
1558299600.0 134.707 NA 39 353 0 NA NA 111 697 0 NA NA 301 6796 664 NA NA 272 3217 708 NA
1558299600.0 134.708 NA 37 346 0 NA NA 107 640 0 NA NA 293 6655 635 NA NA 303 3195 701 NA
1558299600.0 134.709 NA 33 514 0 NA NA 98 785 0 NA NA 263 6096 699 NA NA 519 3080 770 NA
1558299600.0 134.71 NA 33 332 0 NA NA 96 566 0 NA NA 266 5336 651 NA NA 236 2837 706 NA
1558299600.0 134.801 NA 34 332 0 NA NA 106 690 0 NA NA 252 4579 677 NA NA 268 2754 761 NA
1558299600.0 134.802 NA 33 341 0 NA NA 104 642 0 NA NA 298 7363 683 NA NA 511 3442 1187 NA
1558299600.0 134.803 NA 34 343 0 NA NA 103 716 0 NA NA 272 6702 684 NA NA 520 3202 1161 NA
1558299600.0 134.804 NA 40 350 0 NA NA 110 658 0 NA NA 279 7285 688 NA NA 480 3379 1118 NA
1558299600.0 134.805 NA 36 349 0 NA NA 108 656 0 NA NA 272 7120 702 NA NA 399 3277 885 NA
1558299600.0 134.806 NA 34 352 0 NA NA 108 703 0 NA NA 300 7845 686 NA NA 404 3616 929 NA
1558299600.0 134.807 NA 147 398 0 NA NA 213 744 0 NA NA 1127 10366 756 NA NA 607 4288 841 NA
1558299600.0 134.808 NA 137 394 0 NA NA 211 736 0 NA NA 1447 13005 1289 NA NA 1300 6358 1889 NA
1558299600.0 134.809 NA 33 344 0 NA NA 106 684 0 NA NA 274 6919 680 NA NA 434 3285 1055 NA
1558299600.0 134.81 NA 37 341 0 NA NA 100 651 0 NA NA 295 6953 672 NA NA 461 3367 740 NA
1558299600.0 134.811 NA 32 349 0 NA NA 99 630 0 NA NA 288 7333 690 NA NA 712 3467 831 NA
1558299600.0 134.812 NA 42 353 0 NA NA 98 625 0 NA NA 283 5128 642 NA NA 229 2814 725 NA
1558299600.0 134.901 NA 31 329 0 NA NA 96 639 0 NA NA 245 4674 682 NA NA 320 2662 881 NA
