Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1558216800.0 1329.0 NA 148 355 0 NA NA NA 610 492 0 NA NA NA 498 1782 626 NA NA NA 418 1850 949 NA NA
1558216800.0 1329.1 NA 194 0 NA NA NA NA 285 0 NA NA NA NA 2051 123 NA NA NA NA 1787 189 NA NA NA
1558216800.0 133.0 94 119 281 NA NA NA 215 584 446 NA NA NA 4440 554 2135 NA NA NA 3007 930 2232 NA NA NA
1558216800.0 1336.0 NA 159 364 0 NA NA NA 609 502 0 NA NA NA 556 2526 601 NA NA NA 388 2224 756 NA NA
1558216800.0 134.0 NA 303 36 0 NA NA NA 467 89 0 NA NA NA 3798 154 98 NA NA NA 3315 321 261 NA NA
1558216800.0 134.702 NA 43 334 0 NA NA NA 109 468 0 NA NA NA 271 6132 648 NA NA NA 574 3643 781 NA NA
1558216800.0 134.704 NA 40 340 0 NA NA NA 103 475 0 NA NA NA 358 5916 659 NA NA NA 322 3393 836 NA NA
1558216800.0 134.705 NA 52 352 0 NA NA NA 111 473 0 NA NA NA 291 5823 703 NA NA NA 272 2992 857 NA NA
1558216800.0 134.811 NA 50 354 0 NA NA NA 112 499 0 NA NA NA 347 6972 659 NA NA NA 593 3366 792 NA NA
1558216800.0 134.903 NA 43 333 0 NA NA NA 108 465 0 NA NA NA 294 5154 669 NA NA NA 353 2848 869 NA NA
1558216800.0 134.905 NA 53 337 0 NA NA NA 113 481 0 NA NA NA 241 5400 642 NA NA NA 200 3397 794 NA NA
1558216800.0 1341.0 NA 152 371 0 NA NA NA 611 509 0 NA NA NA 554 2447 615 NA NA NA 429 2015 759 NA NA
1558216800.0 1347.0 NA 146 352 0 NA NA NA 613 494 0 NA NA NA 482 2163 681 NA NA NA 402 2219 861 NA NA
1558216800.0 135.1 326 0 127 NA NA NA 688 0 222 NA NA NA 1274 305 1049 NA NA NA 1191 396 1355 NA NA NA
1558216800.0 135.13 332 0 NA NA NA NA 718 0 NA NA NA NA 1150 340 NA NA NA NA 1228 596 NA NA NA NA
1558216800.0 135.3 266 0 126 NA NA NA 691 0 205 NA NA NA 1105 272 962 NA NA NA 1197 837 1471 NA NA NA
1558216800.0 135.4 326 0 126 NA NA NA 688 0 216 NA NA NA 1145 310 1036 NA NA NA 1900 605 1519 NA NA NA
1558216800.0 135.6 325 0 130 NA NA NA 647 0 219 NA NA NA 1285 309 1069 NA NA NA 1331 491 1684 NA NA NA
1558216800.0 135.8 148 NA NA NA NA NA 259 NA NA NA NA NA 482 NA NA NA NA NA 752 NA NA NA NA NA
