Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1557867600.0 250205.0 NA 336 NA NA 669 NA NA 13993 NA NA 4657 NA
1557867600.0 250205.17 NA 395 NA NA 786 NA NA 14716 NA NA 4911 NA
1557867600.0 250205.18 NA 555 NA NA 1066 NA NA 24644 NA NA 8765 NA
1557867600.0 250206.0 NA 339 NA NA 848 NA NA 13719 NA NA 4870 NA
1557867600.0 250206.118 63 532 NA 140 782 NA 1642 3372 NA 966 2515 NA
1557867600.0 250206.17 NA 399 NA NA 722 NA NA 14421 NA NA 5509 NA
1557867600.0 250206.18 NA 567 NA NA 1130 NA NA 24782 NA NA 9469 NA
1557867600.0 250206.181 NA 409 557 NA 723 1104 NA 5091 24887 NA 2198 8986
1557867600.0 250207.0 NA 326 NA NA 671 NA NA 12587 NA NA 4766 NA
1557867600.0 250207.17 NA 386 NA NA 899 NA NA 14687 NA NA 5089 NA
1557867600.0 250207.18 NA 547 NA NA 1145 NA NA 24080 NA NA 9103 NA
1557867600.0 250208.17 NA 415 NA NA 889 NA NA 16235 NA NA 5369 NA
1557867600.0 250208.18 NA 583 NA NA 1131 NA NA 27364 NA NA 10872 NA
1557867600.0 25200.0 NA 340 NA NA 576 NA NA 2999 NA NA 1401 NA
1557867600.0 25202.0 NA 348 NA NA 620 NA NA 2888 NA NA 1319 NA
1557867600.0 25203.0 NA 331 NA NA 576 NA NA 2791 NA NA 1272 NA
1557867600.0 25204.0 NA 330 NA NA 618 NA NA 3138 NA NA 3220 NA
1557867600.0 25206.0 NA 337 NA NA 618 NA NA 3022 NA NA 3328 NA
1557867600.0 25207.0 NA 332 NA NA 619 NA NA 3090 NA NA 3256 NA
1557867600.0 25208.0 NA 348 NA NA 620 NA NA 3327 NA NA 3459 NA
1557867600.0 25209.0 NA 340 NA NA 619 NA NA 3123 NA NA 3375 NA
1557867600.0 25211.0 88 335 NA 174 618 NA 4477 3147 NA 3041 4369 NA
1557867600.0 25211.17 72 344 NA 140 619 NA 4793 3410 NA 2604 4043 NA
1557867600.0 25211.18 72 498 NA 144 839 NA 4449 6621 NA 2410 7065 NA
1557867600.0 25212.0 86 345 NA 175 574 NA 8576 3131 NA 4488 2856 NA
1557867600.0 25212.17 69 350 NA 143 619 NA 8720 3600 NA 4531 3600 NA
1557867600.0 25212.18 69 509 NA 146 838 NA 9346 6978 NA 4845 7032 NA
1557867600.0 25213.0 84 321 NA 177 574 NA 8940 3187 NA 4740 3922 NA
1557867600.0 25213.17 69 359 NA 146 576 NA 9500 3322 NA 4845 1570 NA
1557867600.0 25213.18 68 492 NA 146 785 NA 8846 6490 NA 4728 6916 NA
1557867600.0 25214.0 NA 337 NA NA 618 NA NA 3078 NA NA 3632 NA
1557867600.0 27.0 NA 146 NA NA 601 NA NA 2222 NA NA 1320 NA
1557867600.0 280.0 75 179 NA 271 584 NA 2733 541 NA 1299 657 NA
1557867600.0 28634.0 84 292 NA 151 455 NA 6037 2824 NA 2697 1589 NA
